Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;45Second
Enter;1;66Second
Enter;2;105Second
Enter;3;116Second
Enter;4;167Second
Enter;5;191Second
Enter;6;220Second
Enter;7;295Second
Out;6;295Second
Enter;7;295Second
Enter;8;320Second
Enter;9;373Second
Enter;10;434Second
Enter;11;518Second
Enter;12;543Second
Enter;13;559Second
Enter;14;568Second
Enter;15;595Second
Enter;16;604Second
Enter;17;630Second
Enter;18;635Second
Enter;19;665Second
Enter;20;677Second
Enter;21;716Second
Enter;22;721Second
Enter;23;765Second
Kelar di detik;765
Out;22;765Second
Out;21;765Second
Out;20;765Second
Out;19;765Second
Out;18;765Second
Out;17;765Second
Out;16;765Second
Out;15;765Second
Out;14;765Second
Out;13;765Second
Out;12;765Second
Out;11;765Second
Out;10;765Second
Out;9;765Second
Out;8;765Second
Out;7;765Second
Out;6;765Second
Out;5;765Second
Out;4;765Second
Out;3;765Second
Out;2;765Second
Out;1;765Second
Out;0;765Second
