Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;62Second
Enter;1;99Second
Enter;2;137Second
Enter;3;244Second
Enter;4;254Second
Enter;5;275Second
Enter;6;312Second
Enter;7;378Second
Enter;8;422Second
Enter;9;500Second
Enter;10;511Second
Enter;11;571Second
Enter;12;616Second
Enter;13;634Second
Enter;14;661Second
Enter;15;691Second
Enter;16;699Second
Enter;17;727Second
Enter;18;740Second
Enter;19;773Second
Enter;20;816Second
Enter;21;859Second
Enter;22;891Second
Enter;23;896Second
Kelar di detik;896
Out;22;896Second
Out;21;896Second
