Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;23Second
Enter;1;37Second
Enter;2;81Second
Enter;3;96Second
Enter;4;113Second
Enter;5;150Second
Enter;6;169Second
Enter;7;191Second
Enter;8;206Second
Enter;9;224Second
Enter;10;243Second
Enter;11;265Second
Enter;12;284Second
Enter;13;300Second
Enter;14;316Second
Enter;15;328Second
Enter;16;339Second
Enter;17;352Second
Enter;18;364Second
Enter;19;374Second
Enter;20;387Second
Enter;21;403Second
Enter;22;420Second
Enter;23;509Second
Kelar di detik;509
