Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;147Second
Enter;0;149Second
Enter;0;150Second
Enter;0;150Second
Enter;0;150Second
Enter;0;151Second
Enter;0;151Second
Enter;0;151Second
Enter;0;152Second
Enter;0;152Second
Enter;0;153Second
Enter;0;153Second
Enter;0;154Second
Enter;0;155Second
Enter;0;169Second
Enter;0;169Second
Enter;0;169Second
Enter;1;208Second
Enter;2;276Second
Enter;3;286Second
Enter;4;346Second
Enter;5;373Second
Enter;6;414Second
Enter;7;427Second
Enter;8;466Second
Enter;9;516Second
Enter;10;575Second
Enter;11;593Second
Enter;12;640Second
Enter;13;660Second
Enter;14;668Second
Enter;15;695Second
Enter;16;705Second
Enter;17;735Second
Enter;18;745Second
Enter;19;775Second
Enter;20;793Second
Enter;21;828Second
Enter;22;835Second
Enter;23;879Second
Kelar di detik;879
Out;22;879Second
Out;21;879Second
Out;20;879Second
Out;19;879Second
Out;18;879Second
Out;17;879Second
Out;16;879Second
Out;15;879Second
Out;14;879Second
Out;13;879Second
Out;12;879Second
Out;11;879Second
Out;10;879Second
Out;9;879Second
Out;8;879Second
Out;7;879Second
Out;6;879Second
Out;5;879Second
Out;4;879Second
Out;3;879Second
