Status Chalenge;Kode Chalenge;Waktu Selesai/Keluar
Enter;0;122Second
Enter;1;153Second
Enter;2;181Second
Enter;3;285Second
Enter;4;349Second
Enter;5;379Second
Enter;6;417Second
Enter;7;454Second
Enter;8;503Second
Enter;9;559Second
Enter;10;613Second
Enter;11;679Second
Enter;12;711Second
Enter;13;742Second
Enter;14;771Second
Enter;15;798Second
Enter;16;821Second
Enter;17;844Second
Enter;18;873Second
Enter;19;919Second
Enter;20;989Second
Enter;21;1021Second
Enter;22;1048Second
Enter;23;1091Second
Kelar di detik;1091
Out;22;1091Second
Out;21;1091Second
Out;20;1091Second
Out;19;1091Second
Out;18;1091Second
Out;17;1091Second
Out;16;1091Second
Out;15;1091Second
Out;14;1091Second
Out;13;1091Second
Out;12;1091Second
Out;11;1091Second
Out;10;1091Second
Out;9;1091Second
Out;8;1091Second
Out;7;1091Second
Out;6;1091Second
Out;5;1091Second
Out;4;1091Second
Out;3;1091Second
Out;2;1091Second
Out;1;1091Second
Out;0;1091Second
